days,stdev
,983.318260556046
1,1232.50665328453
2,42.3452867667782
3,38.5119735734981
4,556.195305078445
5,426.886877032954
6,115.281476510438
7,851.295329099806
8,314.728189639375
9,887.053489566011
10,61.1335771717352
11,295.957204113478
12,1014.41298295206
13,263.513377304285
14,45476.3139740532
15,604.524330913708
16,20262.7621019445
17,22931.3760315427
18,1995.38559347978
19,1496.13712606425
20,332.627870130861
21,277.648518781731
22,1514.33896469714
23,117.839933808535
24,159.402948491529
25,415.645882934019
26,782.940163733981
27,1360.35951130574
28,863.954232969934
29,1122.04687958289
30,1235.90040052518
31,426.623467865205
32,51.6099150680694
33,164.79896848041
34,115.943951976806
35,69.8405327314091
36,969.670975134509
37,528.22835971974
38,357.262788408882
39,1491.63690845549
40,487.427122770376
41,899.676006497154
42,612.271385906609
43,960.856232732915
44,990.083935826498
45,117.635028796698
46,784.520681698199
47,343.139913154969
48,688.875109629218
